11:57:59.805 [main] INFO  edu.epam.threads.main.Main - 0.0
12:16:18.316 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - added to vehicles 25.0, Free space 0.0
12:16:18.316 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - added to query 9.0
12:16:18.334 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.334 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.334 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.315 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - added to query 18.0
12:16:18.334 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.334 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.330 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.330 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.330 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.330 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.330 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.314 [pool-1-thread-1] INFO  edu.epam.threads.entity.Ferry - added to vehicles 0.0, Free space 0.0
12:16:18.334 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.330 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.330 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - added to query 12.0
12:16:18.334 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.337 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.337 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
